2020-06-24 11:50:06,841 p=1217 u=admin n=ansible | PLAY [harden server] ********************************************************************************************************************
2020-06-24 11:50:26,046 p=1217 u=admin n=ansible | ok: [GIAVRSSPPQ001] => (item=sb00_PAT_ans)
2020-06-24 11:50:26,222 p=1217 u=admin n=ansible | failed: [GIAVRSSPRE002] (item=sb00-ssp-re) => {"ansible_loop_var": "item", "changed": false, "cmd": ["id", "-un", "sb00-ssp-re"], "delta": "0:00:00.005620", "end": "2020-06-24 11:50:26.666402", "item": "sb00-ssp-re", "msg": "non-zero return code", "rc": 1, "start": "2020-06-24 11:50:26.660782", "stderr": "id: sb00-ssp-re: no such user", "stderr_lines": ["id: sb00-ssp-re: no such user"], "stdout": "", "stdout_lines": []}
2020-06-24 11:50:26,541 p=1217 u=admin n=ansible | ok: [giavesmtfs003] => (item=admin)
2020-06-24 11:50:26,557 p=1217 u=admin n=ansible | ok: [giavrsmtfs001] => (item=admin)
2020-06-24 11:50:26,740 p=1217 u=admin n=ansible | ok: [GIAVRSSPRE002] => (item=sE00_PAT_ad)
2020-06-24 11:50:27,024 p=1217 u=admin n=ansible | ok: [giavesmtfs003] => (item=sC00_SMT_MPMON)
2020-06-24 11:50:27,195 p=1217 u=admin n=ansible | ok: [giavesmtfs001] => (item=selvak)
2020-06-24 11:50:27,338 p=1217 u=admin n=ansible | ok: [GIAVRSSPRE002] => (item=b00-ssp-readm)
2020-06-24 11:50:27,341 p=1217 u=admin n=ansible | ...ignoring
2020-06-24 11:50:27,544 p=1217 u=admin n=ansible | failed: [giavesmtfs003] (item=sF00_PAT__ad) => {"ansible_loop_var": "item", "changed": false, "cmd": ["id", "-un", "sF00_PAT__ad"], "delta": "0:00:00.039434", "end": "2020-06-24 11:50:28.007425", "item": "sF00_PAT__ad", "msg": "non-zero return code", "rc": 1, "start": "2020-06-24 11:50:27.967991", "stderr": "id: sF00_PAT__ad: no such user", "stderr_lines": ["id: sF00_PAT__ad: no such user"], "stdout": "", "stdout_lines": []}
